Symbol,Name,Sector,Industry
194370,제이에스코퍼레이션,"가죽, 가방 및 유사제품 제조업",핸드백 및 지갑
025620,제이준코스메틱,기타 화학제품 제조업,화장품 제조 판매
271980,제일약품,의약품 제조업,의약품
001560,제일연마,기타 비금속 광물제품 제조업,"연마석,다이아몬드공구 제조,도소매/주택건설"
002620,제일파마홀딩스,회사 본부 및 경영 컨설팅 서비스업,"의약품(타리비드,제일파프,노엘,푸라솔) 제조,도매"
089590,제주항공,항공 여객 운송업,"여객운송서비스, 화물운송서비스"
018470,조일알미늄,1차 비철금속 제조업,"알루미늄판 제조,도매"
002600,조흥,기타 식품 제조업,"휘핑크림,인스턴트이스트,프루츠칵테일,크림치즈,견과류,건조과일 제조,판매/주택 신축,판매"
071320,지역난방공사,"증기, 냉·온수 및 공기조절 공급업","집단에너지공급 및 전기,증기 생산,판매"
088790,진도,기타 전문 도매업,"모피제품 제조,가공"
007810,코리아써키트,전자부품 제조업,"인쇄회로기판,Module 제조/부동산(건물) 임대"
192820,코스맥스,기타 화학제품 제조업,화장품
120110,코오롱인더,화학섬유 제조업,"산업자재, 화학, 필름"
138490,코오롱플라스틱,합성고무 및 플라스틱 물질 제조업,엔지니어링플라스틱
021240,코웨이,그외 기타 개인 서비스업,"렌탈 서비스(정수기,비데, 필터교환 등), 가정용기기 도매,판매,제조,폐기물처리설비,수출(정수기,청정기)"
020120,키다리스튜디오,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","만화, 소설 등 콘텐츠 제작 및 유통, 판매, 컴퓨터 프로그래밍, 시스템 통합 및 관리업"
003240,태광산업,화학섬유 제조업,"석유화학제품(PTA,AN),화섬사,직물 등"
004100,태양금속공업,자동차 신품 부품 제조업,"자동차용 강력볼트,너트,전기전자제품용 나사,자전거부품,전해동박,도금도장설비 제조"
005490,포스코,1차 철강 제조업,"열연코일,냉연강판,후판,선재,스테인리스 제조"
039130,하나투어,여행사 및 기타 여행보조 서비스업,"일반여행알선,컴퓨터프로그램 개발,보급,통신판매"
036460,한국가스공사,연료용 가스 제조 및 배관공급업,"액화천연가스 공급,제조,도매,개발"
000970,한국주철관공업,1차 철강 제조업,"수도용주철관,강관 제조"
104700,한국철강,1차 철강 제조업,철근. 단조강. 파이프
168490,한국패러랠,신탁업 및 집합투자업,
128940,한미약품,의약품 제조업,의약품
105630,한세실업,봉제의복 제조업,의류 완제품
004710,한솔테크닉스,전자부품 제조업,"백라이트유닛,인버터,폴리바리콘,모니터,통신장비 제조"
300720,한일시멘트,"시멘트, 석회, 플라스터 및 그 제품 제조업","시멘트, 레미콘, 레미탈"
002220,한일철강,1차 철강 제조업,"강관류,철판류,금속관류,건축자재,자동차부품 제조,도매"
002320,한진,도로 화물 운송업,"포장화물,택배산업,항만하역,고속버스사업,운수보관"
009460,한창제지,"펄프, 종이 및 판지 제조업","마닐라판지,고급백판지(ALL PULP) 제조,판매,수출입"
027390,한화갤러리아타임월드,종합 소매업,"백화점,부동산임대,신용카드업,주차장"
000720,현대건설,토목 건설업,"공사수입,주택분양,건설산업부문 설계,감리 등 엔지니어링서비스"
267270,현대건설기계,일반 목적용 기계 제조업,"굴삭기, 지게차, 휠로더 등"
004560,현대비앤지스틸,1차 철강 제조업,"스텐레스냉연강판,특수강 제조"
057050,현대홈쇼핑,무점포 소매업,TV홈쇼핑 도소매/홈쇼핑프로그램 제작
111110,호전실업,봉제의복 제조업,스포츠웨어 및 아웃도어 웨어 OEM
008770,호텔신라,기타 상품 전문 소매업,"면세판매,관광숙박,외식사업,예식업"
051500,CJ프레시웨이,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
037370,EG,기타 전문 도매업,"산화철, 대기수처리방지시설, 무역"
130500,GH신소재,기타 섬유제품 제조업,"자동차용 부직포, 폴리우레탄 폼"
083450,GST,특수 목적용 기계 제조업,"GasScrubber,Chiller"
024120,KB오토시스,자동차 신품 부품 제조업,브레이크패드
083470,KJ프리텍,플라스틱제품 제조업,"소형 BLU, 정밀 플라스틱 제품"
060250,NHN한국사이버결제,기타 정보 서비스업,전자결제서비스업
032540,TJ미디어,영상 및 음향기기 제조업,영상음향반주기
038340,UCI,일반 교습 학원,캐패시터
051390,YW,상품 종합 도매업,"이동통신중계시스템, 데이터네트웍장비, 광전송 장비"
094480,갤럭시아컴즈,소프트웨어 개발 및 공급업,전자결제
063080,게임빌,기타 금융업,모바일게임
038530,골드퍼시픽,생활용품 도매업,"주문형반도체, IMT-2000 Modem Chip 등"
307280,교보8호스팩,금융 지원 서비스업,기업인수합병
036190,금화피에스시,전기 및 통신 공사업,"설비,철물,전기,강구조물"
089600,나스미디어,광고업,광고매체 판매
085910,네오티스,자동차 신품 부품 제조업,"마이크로비트,샤프트"
031390,녹십자셀,기초 의약물질 및 생물학적 제제 제조업,항암세포치료제
142280,녹십자엠에스,의료용품 및 기타 의약 관련제품 제조업,"혈액백, 진단시약, 혈액투석액"
012340,뉴인텍,전자부품 제조업,콘덴서
085670,뉴프렉스,전자부품 제조업,연성인쇄회로기판
007720,대명코퍼레이션,상품 종합 도매업,기업소모성자재 구매대행업
078140,대봉엘에스,의약품 제조업,"원료의약품,화장품원료"
071460,대유위니아,가정용 기기 제조업,"김치냉장고(스탠드형, 뚜껑형), 에어컨, 프리미엄 냉장고 등"
010170,대한광통신,절연선 및 케이블 제조업,광섬유
023910,대한약품,의약품 제조업,수액제
213420,덕산네오룩스,전자부품 제조업,"HTL(정공수송층), HIL(정공주입층), RED HOST"
099410,동방선기,선박 및 보트 건조업,선박용 배관 등
066900,디에이피,전자부품 제조업,Build-Up PCB(인쇄회로기판)
092070,디엔에프,기타 화학제품 제조업,반도체배선박막재료(알루미늄전구체)
039840,디오,의료용 기기 제조업,자동포장기계
033130,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",위성서비스
263020,디케이앤디,플라스틱제품 제조업,합성피혁 및 부직포
290550,디케이티,전자부품 제조업,스마트폰용 FPCA
038390,레드캡투어,여행사 및 기타 여행보조 서비스업,"S/W개발 및 공급, DB개발"
016100,리더스코스메틱,기타 화학제품 제조업,화장품
038290,마크로젠,"그외 기타 전문, 과학 및 기술 서비스업","DNA Sequencing, Microarray, Genetically Engineered Mouse"
127160,매직마이크로,전자부품 제조업,"LED 리드프레임, LED PKG"
257370,명성티엔에스,특수 목적용 기계 제조업,"2차전지 분리막 제조설비, 디스플레이용 생산설비"
250060,모비스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",기업인수합병
049950,미래컴퍼니,특수 목적용 기계 제조업,EdgeGrinder
213090,미래테크놀로지,소프트웨어 개발 및 공급업,OTP
206640,바디텍메드,의료용품 및 기타 의약 관련제품 제조업,기업인수합병
084990,바이로메드,자연과학 및 공학 연구개발업,"기술이전수입,연구용시료"
086820,바이오솔루션,기초 의약물질 및 생물학적 제제 제조업,"세포치료제, 인체조직모델 등"
008470,부스타,"구조용 금속제품, 탱크 및 증기발생기 제조업","관류보일러,진공온수보일러,무압온수보일러,난방기 제조,판매"
138580,비즈니스온,소프트웨어 개발 및 공급업,전자세금계산서 발행서비스(스마트빌)
054220,비츠로시스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","원방감시제어시스템, 분산제어시스템"
122350,삼기오토모티브,자동차 신품 부품 제조업,자동차부품
018310,삼목에스폼,"구조용 금속제품, 탱크 및 증기발생기 제조업","유로폼,갱폼,알루미늄폼,특수폼,유리온실사업"
023600,삼보판지,"펄프, 종이 및 판지 제조업","골판지,골판지상자"
009300,삼아제약,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘"
011560,세보엠이씨,건물설비 설치 공사업,"건설관련설비, ACESS FLOOR , 소음기 , CHAMMBER , PFP UNIT, BY-PASS UNIT , DUCT , 철구조물 ."
258830,세종메디칼,의료용 기기 제조업,복강경수술용 투관침 등
091990,셀트리온헬스케어,기타 전문 도매업,바이오의약품 마케팅 및 판매
066910,손오공,"인형,장난감 및 오락용품 제조업","완구,게임,캐릭터수입수수료"
033790,스카이문스테크놀로지,통신 및 방송 장비 제조업,무선통신시스템용 중계기
049830,승일,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브"
217330,싸이토젠,자연과학 및 공학 연구개발업,CTC 기반 Liquid Biopsy 응용사업 및 플랫폼
208640,썸에이지,소프트웨어 개발 및 공급업,기업인수합병
136510,쎄미시스코,특수 목적용 기계 제조업,"EGIS(유리기판 검사장비), Smart-EPD 및 Smart-HMS(플라즈마 검사장비)"
036170,씨티젠,반도체 제조업,LED패키지
040910,아이씨디,특수 목적용 기계 제조업,"건식세정기,LCD,반도체 장비,광정보통신 부품,장비 제조,연구개발,용역 서비스,수출입"
031310,아이즈비전,전기 통신업,"홈쇼핑(아이즈홈쇼핑), 국제전화(아이즈텔), 가정용유무선 전화기판매(TopPhone)"
119830,아이텍반도체,"그외 기타 전문, 과학 및 기술 서비스업",비메모리 반도체 테스트
096610,알에프세미,반도체 제조업,"ECM, DIODE, LED Light"
196170,알테오젠,자연과학 및 공학 연구개발업,바이오시밀러 및 바이오베터
085810,알티캐스트,소프트웨어 개발 및 공급업,"디지털 방송용 소프트웨어(셋톱박스용 미들웨어 등), CAS(수신제한시스템)"
205500,액션스퀘어,소프트웨어 개발 및 공급업,모바일게임
131400,액트,전자부품 제조업,연성회로기판
121890,에스디시스템,전자부품 제조업,"요금징수시스템, 지능형교통시스템,하이패스단말기"
112240,에스에프씨,플라스틱제품 제조업,"태양광 모듈용 백시트, 라미네이팅 필름"
160600,에스엔텍,특수 목적용 기계 제조업,"진공합착기, NPS"
263920,에스엔피월드,그외 기타 제품 제조업,"화장용 스펀지, 퍼프"
096630,에스코넥,통신 및 방송 장비 제조업,WaferProber
039440,에스티아이,특수 목적용 기계 제조업,"Chemical 중앙공급시스템(C.C.S.S), 세정·식각시스템"
098660,에스티오,봉제의복 제조업,"셔츠,자켓/바지, 타이"
176440,에이치엔티,전자부품 제조업,휴대폰 카메라 모듈
033600,에이코넬,자동차 신품 부품 제조업,김치냉장고부품
021080,에이티넘인베스트,신탁업 및 집합투자업,벤처캐피탈
089530,에이티세미콘,반도체 제조업,반도체 테스트
089970,에이피티씨,특수 목적용 기계 제조업,300mm Poly Etch System
064510,에코마이스터,특수 목적용 기계 제조업,SAP
230360,에코마케팅,광고업,"온라인, 모바일 광고 종합대행업"
036810,에프에스티,전자부품 제조업,"펠리클(반도체부품),칠러장비,반도체유통"
205100,엑셈,소프트웨어 개발 및 공급업,"DB, E2E 성능관리 SW"
061970,엘비세미콘,반도체 제조업,"골드범핑, 솔더범핑 등"
138690,엘아이에스,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C"
090740,연이정보통신,전자부품 제조업,"LCD,PDP및단말기용PBA"
045060,오공,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제"
048260,오스템임플란트,의료용 기기 제조업,치과용임플란트
138080,오이솔루션,통신 및 방송 장비 제조업,광트랜시버
049480,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)"
019210,와이지-원,기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴"
074600,원익QnC,유리 및 유리제품 제조업,석영유리가공제품
014190,원익큐브,기타 전문 도매업,"이에이엠, 2-헤마, 비에이엠, 엠엠에이, 아스팔트슁글"
123100,원익테라세미콘,특수 목적용 기계 제조업,반도체 및 AMOLED 제조용 열처리장비
008290,원풍물산,봉제의복 제조업,남성용신사복
095270,웨이브일렉트로,통신 및 방송 장비 제조업,이동통신중계기용전력증폭기
065950,웰크론,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복"
036090,위지트,특수 목적용 기계 제조업,LCD 반도체
191410,육일씨엔에쓰,전자부품 제조업,IT 용 Cover Glass
215790,이노인스트루먼트,통신 및 방송 장비 제조업,기업 인수 합병
080010,이상네트웍스,상품 중개업,기업간전자상거래서비스
047560,이스트소프트,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W"
102710,이엔에프테크놀로지,기타 화학제품 제조업,LCD/반도체용 케미칼
096040,이트론,컴퓨터 및 주변장치 제조업,컴퓨터 및 주변장치 제조
049550,잉크테크,기타 화학제품 제조업,"잉크젯 프린터용 잉크카트리지, 재충전 잉크"
079370,제우스,특수 목적용 기계 제조업,LCD제조용장비
126880,제이엔케이히터,일반 목적용 기계 제조업,산업용가열로
080220,제주반도체,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM"
034940,조아제약,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매"
033340,좋은사람들,봉제의복 제조업,패션내의
036930,주성엔지니어링,특수 목적용 기계 제조업,LP CVD
065060,지엔코,봉제의복 제조업,"캐쥬얼의류(SPORT-REPLAY, Thursday Island)"
