Symbol,Name,Sector,Industry
098660,에스티오,봉제의복 제조업,"셔츠,자켓/바지, 타이"
176440,에이치엔티,전자부품 제조업,휴대폰 카메라 모듈
033600,에이코넬,자동차 신품 부품 제조업,김치냉장고부품
021080,에이티넘인베스트,신탁업 및 집합투자업,벤처캐피탈
089530,에이티세미콘,반도체 제조업,반도체 테스트
089970,에이피티씨,특수 목적용 기계 제조업,300mm Poly Etch System
064510,에코마이스터,특수 목적용 기계 제조업,SAP
230360,에코마케팅,광고업,"온라인, 모바일 광고 종합대행업"
036810,에프에스티,전자부품 제조업,"펠리클(반도체부품),칠러장비,반도체유통"
205100,엑셈,소프트웨어 개발 및 공급업,"DB, E2E 성능관리 SW"
061970,엘비세미콘,반도체 제조업,"골드범핑, 솔더범핑 등"
138690,엘아이에스,특수 목적용 기계 제조업,"LGP Engraving M/C, Cell Sealing M/C"
090740,연이정보통신,전자부품 제조업,"LCD,PDP및단말기용PBA"
045060,오공,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제"
048260,오스템임플란트,의료용 기기 제조업,치과용임플란트
138080,오이솔루션,통신 및 방송 장비 제조업,광트랜시버
049480,오픈베이스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)"
019210,와이지-원,기타 금속 가공제품 제조업,"엔드밀, 탭, 드릴"
074600,원익QnC,유리 및 유리제품 제조업,석영유리가공제품
014190,원익큐브,기타 전문 도매업,"이에이엠, 2-헤마, 비에이엠, 엠엠에이, 아스팔트슁글"
123100,원익테라세미콘,특수 목적용 기계 제조업,반도체 및 AMOLED 제조용 열처리장비
008290,원풍물산,봉제의복 제조업,남성용신사복
095270,웨이브일렉트로,통신 및 방송 장비 제조업,이동통신중계기용전력증폭기
065950,웰크론,직물직조 및 직물제품 제조업,"기능성 침구용품, 크리너, 필터, 방탄·방검복"
036090,위지트,특수 목적용 기계 제조업,LCD 반도체
191410,육일씨엔에쓰,전자부품 제조업,IT 용 Cover Glass
215790,이노인스트루먼트,통신 및 방송 장비 제조업,기업 인수 합병
080010,이상네트웍스,상품 중개업,기업간전자상거래서비스
047560,이스트소프트,소프트웨어 개발 및 공급업,"온라인게임(카발온라인),알툴즈S/W,스토리지S/W"
102710,이엔에프테크놀로지,기타 화학제품 제조업,LCD/반도체용 케미칼
096040,이트론,컴퓨터 및 주변장치 제조업,컴퓨터 및 주변장치 제조
049550,잉크테크,기타 화학제품 제조업,"잉크젯 프린터용 잉크카트리지, 재충전 잉크"
079370,제우스,특수 목적용 기계 제조업,LCD제조용장비
126880,제이엔케이히터,일반 목적용 기계 제조업,산업용가열로
080220,제주반도체,반도체 제조업,"모바일용 LP DDR SDRAM, CRAM, SRAM"
034940,조아제약,의약품 제조업,"의약품,의약부외품,보건보조식품,위생용품의제조판매"
033340,좋은사람들,봉제의복 제조업,패션내의
036930,주성엔지니어링,특수 목적용 기계 제조업,LP CVD
065060,지엔코,봉제의복 제조업,"캐쥬얼의류(SPORT-REPLAY, Thursday Island)"
109820,진매트릭스,자연과학 및 공학 연구개발업,"B형간염치료제 내성진단,C형간염바이러스 유전형진단, 자궁경부암유발바이러스 유전형진단"
004650,창해에탄올,알코올음료 제조업,"주정(발효주정, 정제주정) 등"
042040,케이피엠테크,기타 화학제품 제조업,"표면처리약품, 전자동 도금설비"
054410,케이피티유,기타 금속 가공제품 제조업,"Vacuum Treatment, Plasma Surface Treatment"
